,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,,,,,0.0,0,0,50
0,0.1,,,,,0.02,0,1,49
0,0.1,,,,,0.04,0,2,48
0,0.1,,,,,0.06,0,3,47
0,0.1,,,,,0.08,0,4,46
0,0.1,,,,,0.1,0,5,45
0,0.1,,,,,0.12,0,6,44
0,0.1,,,,,0.14,0,7,43
0,0.1,,,,,0.16,0,8,42
0,0.1,,,,,0.18,0,9,41
0,0.1,,,,,0.2,0,10,40
0,0.1,,,,,0.22,0,11,39
0,0.1,,,,,0.24,0,12,38
0,0.1,,,,,0.26,0,13,37
0,0.1,,,,,0.28,0,14,36
0,0.1,,,,,0.3,0,15,35
0,0.1,,,,,0.32,0,16,34
0,0.1,,,,,0.34,0,17,33
0,0.1,,,,,0.36,0,18,32
0,0.1,,,,,0.38,0,19,31
0,0.1,,,,,0.4,0,20,30
0,0.1,,,,,0.42,0,21,29
0,0.1,,,,,0.44,0,22,28
0,0.1,,,,,0.46,0,23,27
0,0.1,,,,,0.48,0,24,26
0,0.1,,,,,0.5,0,25,25
0,0.1,,,,,0.52,0,26,24
0,0.1,,,,,0.54,0,27,23
0,0.1,,,,,0.56,0,28,22
0,0.1,,,,,0.58,0,29,21
0,0.1,,,,,0.6,0,30,20
0,0.1,,,,,0.62,0,31,19
0,0.1,,,,,0.64,0,32,18
0,0.1,,,,,0.66,0,33,17
0,0.1,,,,,0.68,0,34,16
0,0.1,,,,,0.7,0,35,15
0,0.1,,,,,0.72,0,36,14
0,0.1,,,,,0.74,0,37,13
0,0.1,,,,,0.76,0,38,12
0,0.1,,,,,0.78,0,39,11
0,0.1,,,,,0.8,0,40,10
0,0.1,,,,,0.82,0,41,9
0,0.1,,,,,0.84,0,42,8
0,0.1,,,,,0.86,0,43,7
0,0.1,,,,,0.88,0,44,6
0,0.1,,,,,0.9,0,45,5
0,0.1,,,,,0.92,0,46,4
0,0.1,,,,,0.94,0,47,3
0,0.1,,,,,0.96,0,48,2
0,0.1,,,,,0.98,0,49,1
