,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity Parameter,Seekers,Explorers
0,0.5963366666666666,0.208,0.5513333333333333,0.12,22.0,3.0
0,0.6861513333333332,0.218,0.5417,0.2,20.0,5.0
0,0.7856893333333334,0.276,0.4405079365079365,0.16,21.0,4.0
0,0.8687360000000001,0.303,0.4270526315789473,0.24,19.0,6.0
0,0.5443333333333333,0.206,0.4806388888888889,0.04,24.0,1.0
0,0.7046933333333333,0.21,0.7175555555555555,0.64,9.0,16.0
0,0.8791833333333332,0.221,0.6884444444444444,0.88,3.0,22.0
0,0.603754,0.233,0.4425333333333333,0.0,25.0,0.0
0,0.9070273333333334,0.268,0.4994,0.6,10.0,15.0
0,0.7829519999999999,0.247,0.715,0.92,2.0,23.0
0,0.7448999999999999,0.235,0.6611428571428571,0.72,7.0,18.0
0,0.7039873333333333,0.256,0.6946666666666667,0.84,4.0,21.0
0,0.7566086666666667,0.26,0.4315416666666666,0.36,16.0,9.0
0,0.7292786666666667,0.214,0.6399047619047619,0.44,14.0,11.0
0,0.682454,0.242,0.7058666666666666,0.8,5.0,20.0
0,0.7666006666666666,0.266,0.5266274509803922,0.32,17.0,8.0
0,0.6046346666666667,0.22,0.4626666666666666,0.08,23.0,2.0
0,0.7174513333333332,0.289,0.7566666666666667,0.96,1.0,24.0
0,0.8764966666666666,0.288,0.4924615384615384,0.48,13.0,12.0
0,0.7715786666666666,0.231,0.6066666666666667,0.56,11.0,14.0
0,0.6802113333333334,0.279,0.5604444444444444,0.52,12.0,13.0
0,0.8670853333333333,0.24,0.5165555555555555,0.28,18.0,7.0
0,0.699762,0.27,0.6348333333333334,0.68,8.0,17.0
0,0.7219526666666667,0.232,0.6566666666666666,0.76,6.0,19.0
0,0.8220219999999999,0.33,0.4735555555555555,0.4,15.0,10.0
